Date,p.1,p.2,p.3,p.4,p.5,p.6,p.7,p.8,p.9,evap.1,evap.2,evap.3,evap.4,evap.5,evap.6,evap.7,evap.8,evap.9,diff.1,diff.2,diff.3,diff.4,diff.5,diff.6,diff.7,diff.8,diff.9,sm.1,sm.2,sm.3,sm.4,sm.5,sm.6,sm.7,sm.8,sm.9
2010-01-01,6.3572,5.2557,6.8371,7.081,7.3328,7.4587,7.3328,7.7262,6.4359,0.8362,0.7279,0.7332,0.7722,0.8854,1.0379,0.9725,1.0506,0.8534,5.521,4.5278,6.1039,6.3088,6.4474,6.4208,6.3603,6.6756,5.5825,0.4292,0.4292,0.421,0.3958,0.3958,0.375,0.375,0.375,0.3624
2010-01-02,0,0,0,0,0,0,0,0,0,0.6163,0.6162,0.7693,0.7671,0.697,0.8365,0.9329,0.9606,0.8017,-0.6163,-0.6162,-0.7693,-0.7671,-0.697,-0.8365,-0.9329,-0.9606,-0.8017,0.464,0.464,0.4587,0.4485,0.4485,0.4342,0.4342,0.4342,0.4422
2010-01-03,0,0,0,0,0,0,0,0,0,0.2844,0.3227,0.4434,0.4535,0.4765,0.4002,0.3198,0.3376,0.3876,-0.2844,-0.3227,-0.4434,-0.4535,-0.4765,-0.4002,-0.3198,-0.3376,-0.3876,0.4199,0.4199,0.3969,0.3816,0.3816,0.3813,0.3813,0.3813,0.383
2010-01-04,7.7577,8.7411,5.9087,5.6727,6.5145,2.6436,4.8308,4.823,3.7057,0.6123,0.5319,0.4884,0.4759,0.3182,0.3044,0.1964,0.2741,0.1935,7.1454,8.2092,5.4203,5.1968,6.1963,2.3392,4.6344,4.5489,3.5122,0.4052,0.4052,0.3832,0.3702,0.3702,0.367,0.367,0.367,0.3657
2010-01-05,10.8104,10.5114,9.4571,9.3627,7.5767,9.8584,10.4485,10.9205,8.1668,0.2609,0.2237,0.2089,0.2089,0.2169,0.2326,0.2392,0.2466,0.2299,10.5495,10.2877,9.2482,9.1538,7.3598,9.6258,10.2093,10.6739,7.9369,0.4143,0.4143,0.3989,0.3933,0.3933,0.3927,0.3927,0.3927,0.3936
2010-01-06,0,0,0,0,0,0,0,0,0,0.314,0.3072,0.3363,0.3052,0.2175,0.3217,0.3281,0.3735,0.3678,-0.314,-0.3072,-0.3363,-0.3052,-0.2175,-0.3217,-0.3281,-0.3735,-0.3678,0.3956,0.3956,0.3892,0.3883,0.3883,0.3888,0.3888,0.3888,0.3878
2010-01-07,0,0,0,0,0,0,0,0,0,0.5273,0.4918,0.5782,0.605,0.586,0.5534,0.3674,0.3923,0.4384,-0.5273,-0.4918,-0.5782,-0.605,-0.586,-0.5534,-0.3674,-0.3923,-0.4384,0.3878,0.3878,0.3821,0.3801,0.3801,0.3794,0.3794,0.3794,0.376
2010-01-08,0.8812,0.8969,0,0,0,0,0,0,0,0.5756,0.5348,0.6614,0.7096,0.7382,0.6394,0.2894,0.3013,0.3361,0.3056,0.3621,-0.6614,-0.7096,-0.7382,-0.6394,-0.2894,-0.3013,-0.3361,0.3888,0.3888,0.3836,0.382,0.382,0.3812,0.3812,0.3812,0.3774
2010-01-09,1.2667,1.8883,0.9205,0.8812,1.8253,1.1723,0.8104,0.7789,1.2903,0.6598,0.6201,0.7062,0.761,0.7461,0.7065,0.481,0.5118,0.4642,0.6069,1.2682,0.2143,0.1202,1.0792,0.4658,0.3294,0.2671,0.8261,0.3905,0.3905,0.3854,0.3837,0.3837,0.383,0.383,0.383,0.3792
2010-01-10,0,0,0,0,0,0,0,0,0,0.8838,0.7999,0.8732,0.9467,1.0022,0.8628,0.4553,0.4839,0.4774,-0.8838,-0.7999,-0.8732,-0.9467,-1.0022,-0.8628,-0.4553,-0.4839,-0.4774,0.3976,0.3976,0.3928,0.391,0.391,0.3908,0.3908,0.3908,0.3854
2010-01-11,0,0,0,0,0,0,0,0,0,1.14,1.1108,1.3412,1.4292,1.6032,1.5823,1.2174,1.2993,1.1397,-1.14,-1.1108,-1.3412,-1.4292,-1.6032,-1.5823,-1.2174,-1.2993,-1.1397,0.4347,0.4347,0.4152,0.4032,0.4032,0.4022,0.4022,0.4022,0.3967
2010-01-12,2.4705,3.2809,2.1086,2.0771,2.62,2.0614,1.7073,1.6601,2.5256,0.9363,0.83,0.9987,1.0504,1.1018,1.2122,1.0777,1.1141,0.9914,1.5342,2.4509,1.1099,1.0267,1.5182,0.8492,0.6296,0.546,1.5342,0.464,0.464,0.4463,0.423,0.423,0.4203,0.4203,0.4203,0.4153
2010-01-13,2.9662,2.8717,2.6121,2.439,3.3438,2.3367,1.9748,1.7702,2.62,0.5444,0.5213,0.6701,0.6938,0.6706,0.7406,0.6661,0.6785,0.603,2.4218,2.3504,1.942,1.7452,2.6732,1.5961,1.3087,1.0917,2.017,0.4013,0.4013,0.3915,0.383,0.383,0.3834,0.3834,0.3834,0.3866
2010-01-14,0,0,0,0,0,0,0,0,0,0.7752,0.7922,0.9598,0.9552,1.0192,1.1406,1.1903,1.1764,0.9651,-0.7752,-0.7922,-0.9598,-0.9552,-1.0192,-1.1406,-1.1903,-1.1764,-0.9651,0.3959,0.3959,0.3917,0.3829,0.3829,0.359,0.359,0.359,0.3536
2010-01-15,0.4878,0,1.0464,1.1094,5.0826,3.2651,1.8411,1.4319,2.9032,1.4987,1.5451,1.978,1.9911,1.9481,2.0345,2.0035,2.032,1.8676,-1.0109,-1.5451,-0.9316,-0.8817,3.1345,1.2306,-0.1624,-0.6001,1.0356,0.379,0.379,0.378,0.3704,0.3704,0.3384,0.3384,0.3384,0.331
2010-01-16,0.5114,0,0.9205,1.188,1.8175,2.2659,2.8088,3.2651,2.6278,0.5419,0.4914,0.5076,0.4946,0.4257,0.4396,0.3947,0.4225,0.3416,-0.0305,-0.4914,0.4129,0.6934,1.3918,1.8263,2.4141,2.8426,2.2862,0.376,0.376,0.3594,0.3389,0.3389,0.3309,0.3309,0.3309,0.3299
2010-01-17,0.952,0.6058,1.2038,1.1959,2.4705,0.7553,0.6137,0.5271,0.771,0.7889,0.8096,0.9228,0.8919,0.785,0.7802,0.5972,0.6083,0.5478,0.1631,-0.2038,0.281,0.304,1.6855,-0.0249,0.0165,-0.0812,0.2232,0.3609,0.3609,0.3451,0.3249,0.3249,0.3244,0.3244,0.3244,0.3217
2010-01-18,0,0,0,0,0,0,0,0,0,1.2044,1.18,1.4088,1.4212,1.4701,1.5043,1.4122,1.364,1.2786,-1.2044,-1.18,-1.4088,-1.4212,-1.4701,-1.5043,-1.4122,-1.364,-1.2786,0.3863,0.3863,0.3668,0.3397,0.3397,0.3383,0.3383,0.3383,0.3337
2010-01-19,0,0,0,0,0,0,0,0,0,1.4162,1.312,1.5042,1.5363,1.5902,1.6982,1.5322,1.5079,1.4027,-1.4162,-1.312,-1.5042,-1.5363,-1.5902,-1.6982,-1.5322,-1.5079,-1.4027,0.3646,0.3646,0.3441,0.318,0.318,0.3218,0.3218,0.3218,0.3206
2010-01-20,0,0,0,0,0,0,0,0,0,1.6968,1.7142,1.8289,1.8468,1.9606,1.9727,1.7047,1.6337,1.6135,-1.6968,-1.7142,-1.8289,-1.8468,-1.9606,-1.9727,-1.7047,-1.6337,-1.6135,0.3531,0.3531,0.3369,0.3206,0.3206,0.3218,0.3218,0.3218,0.3183
2010-01-21,0,0,0,0,0,0,0,0,0,1.5635,1.4718,1.5356,1.5509,1.7092,1.7181,1.4802,1.4488,1.3805,-1.5635,-1.4718,-1.5356,-1.5509,-1.7092,-1.7181,-1.4802,-1.4488,-1.3805,0.3402,0.3402,0.3254,0.3148,0.3148,0.3209,0.3209,0.3209,0.3189
2010-01-22,4.9331,2.0142,3.4933,3.1235,2.7695,2.5728,0.8104,0,1.487,0.7625,0.8203,0.9902,0.986,1.0661,0.8835,0.7672,0.7236,0.8863,4.1706,1.1939,2.5031,2.1375,1.7034,1.6893,0.0432,-0.7236,0.6007,0.3286,0.3286,0.3135,0.303,0.303,0.3088,0.3088,0.3088,0.3072
2010-01-23,1.5421,2.0142,1.5499,1.6916,1.0464,0.6294,2.2817,2.502,0.9048,0.3591,0.3402,0.3975,0.3999,0.4635,0.539,0.5783,0.5515,0.5112,1.183,1.674,1.1524,1.2917,0.5829,0.0904,1.7034,1.9505,0.3936,0.3603,0.3603,0.3448,0.3305,0.3305,0.324,0.324,0.324,0.3141
2010-01-24,0,0,0,0,0.4957,0.9599,0.9441,0.8891,0.9441,0.7024,0.6949,0.7892,0.7988,0.8504,0.8644,0.739,0.7388,0.7402,-0.7024,-0.6949,-0.7892,-0.7988,-0.3547,0.0955,0.2051,0.1503,0.2039,0.3379,0.3379,0.3216,0.3151,0.3151,0.3203,0.3203,0.3203,0.3151
2010-01-25,2.1086,2.1951,1.8804,1.9355,2.1794,1.3297,1.9905,2.1636,1.6286,0.8359,0.7325,0.7065,0.6781,0.5807,0.6551,0.5599,0.6033,0.5091,1.2727,1.4626,1.1739,1.2574,1.5987,0.6746,1.4306,1.5603,1.1195,0.3468,0.3468,0.3276,0.3211,0.3211,0.327,0.327,0.327,0.3201
2010-01-26,1.1566,2.2817,0.8576,0.6845,0,1.0543,0,0,0.7002,0.5099,0.5246,0.5872,0.5637,0.3932,0.435,0.4042,0.4295,0.4252,0.6467,1.7571,0.2704,0.1208,-0.3932,0.6193,-0.4042,-0.4295,0.275,0.3526,0.3526,0.33,0.3203,0.3203,0.3253,0.3253,0.3253,0.3204
2010-01-27,0,0,0,0,0,0,0,0,0,0.5545,0.5164,0.4655,0.4398,0.4041,0.4331,0.4005,0.4409,0.3758,-0.5545,-0.5164,-0.4655,-0.4398,-0.4041,-0.4331,-0.4005,-0.4409,-0.3758,0.3486,0.3486,0.3327,0.3251,0.3251,0.33,0.33,0.33,0.3246
2010-01-28,0,0,0,0,0,0,0,0,0,0.9985,0.954,0.9301,0.9474,0.9703,0.9678,0.7714,0.7938,0.7427,-0.9985,-0.954,-0.9301,-0.9474,-0.9703,-0.9678,-0.7714,-0.7938,-0.7427,0.3409,0.3409,0.3247,0.3158,0.3158,0.3219,0.3219,0.3219,0.3191
2010-01-29,0,0,0,0,0,0,0,0,0,0.9875,0.9494,0.9585,0.95,0.8899,0.8195,0.6639,0.6987,0.6691,-0.9875,-0.9494,-0.9585,-0.95,-0.8899,-0.8195,-0.6639,-0.6987,-0.6691,0.3416,0.3416,0.325,0.3157,0.3157,0.3221,0.3221,0.3221,0.3179
